COUNTY,2014,2015,2016,2017,2020
ADAMS COUNTY,H,H,H,H,H
ALLEN COUNTY,M,M,H,H,H
ASHLAND COUNTY,L,M,L,L,M
ASHTABULA COUNTY,H,H,H,H,H
ATHENS COUNTY,M,M,L,L,H
AUGLAIZE COUNTY,L,H,L,M,M
BELMONT COUNTY,H,H,H,H,M
BROWN COUNTY,H,H,H,H,H
BUTLER COUNTY,H,H,H,H,H
CARROLL COUNTY,M,M,M,H,M
CHAMPAIGN COUNTY,H,M,H,H,H
CLARK COUNTY,H,H,H,H,H
CLERMONT COUNTY,H,H,H,H,H
CLINTON COUNTY,H,H,H,H,H
COLUMBIANA COUNTY,M,H,H,H,H
COSHOCTON COUNTY,L,L,M,M,M
CRAWFORD COUNTY,H,H,H,H,H
CUYAHOGA COUNTY,H,H,H,H,H
DARKE COUNTY,H,H,H,H,M
DEFIANCE COUNTY,M,M,M,L,M
DELAWARE COUNTY,L,L,L,M,M
ERIE COUNTY,H,H,H,H,M
FAIRFIELD COUNTY,M,M,M,H,H
FAYETTE COUNTY,H,H,H,H,H
FRANKLIN COUNTY,M,H,H,H,L
FULTON COUNTY,M,M,H,L,H
GALLIA COUNTY,H,H,H,H,M
GEAUGA COUNTY,M,M,H,H,M
GREENE COUNTY,H,H,H,H,H
GUERNSEY COUNTY,H,H,H,H,H
HAMILTON COUNTY,H,H,H,H,H
HANCOCK COUNTY,M,M,H,H,H
HARDIN COUNTY,L,H,H,H,H
HARRISON COUNTY,M,H,L,H,H
HENRY COUNTY,L,H,M,M,M
HIGHLAND COUNTY,H,H,M,H,H
HOCKING COUNTY,M,M,M,H,H
HOLMES COUNTY,L,L,L,L,M
HURON COUNTY,H,M,H,H,H
JACKSON COUNTY,H,H,H,H,H
JEFFERSON COUNTY,H,H,H,H,H
KNOX COUNTY,M,M,M,H,M
LAKE COUNTY,H,H,H,H,H
LAWRENCE COUNTY,M,H,H,H,H
LICKING COUNTY,M,M,M,H,H
LOGAN COUNTY,L,M,H,H,M
LORAIN COUNTY,H,H,H,H,H
LUCAS COUNTY,H,H,H,H,H
MADISON COUNTY,M,M,H,H,H
MAHONING COUNTY,H,H,H,H,H
MARION COUNTY,H,H,H,H,H
MEDINA COUNTY,M,M,H,H,M
MEIGS COUNTY,M,M,H,M,H
MERCER COUNTY,M,L,M,M,M
MIAMI COUNTY,M,M,H,H,H
MONROE COUNTY,H,L,L,M,M
MONTGOMERY COUNTY,H,H,H,H,H
MORGAN COUNTY,H,L,H,M,L
MORROW COUNTY,M,L,M,H,H
MUSKINGUM COUNTY,L,M,L,H,H
NOBLE COUNTY,L,H,L,L,H
OTTAWA COUNTY,L,M,H,M,H
