COUNTY,YEAR,County_ID,CRIME_THEFT_100k,CRIME_VIOLENT_100k,CRIME_PROPERTY_100k,OVERDOSE_100k,UNEMPLOYMENT_RATE,MEDIAN_INCOME,UNDER_18_POVERTY_RATE,ALL_AGES_POVERTY_RATE
ADAMS COUNTY,2014,1,1410.005341,96.13672779,1523.945166,35.60619548,9.2,34116,33.3,24.8
ADAMS COUNTY,2015,1,1141.487154,89.45824089,1205.897087,42.93995563,7.9,36609,29.3,21.3
ADAMS COUNTY,2016,1,855.2537013,61.08955009,934.3107661,43.12203536,7.5,38302,29.6,20.2
ADAMS COUNTY,2017,1,758.8563208,79.12245999,784.031649,50.35065636,7.1,41644,27.6,18.6
ALLEN COUNTY,2014,2,3273.372375,387.2346108,3296.263091,11.44535795,5.8,43602,24.9,18
ALLEN COUNTY,2015,2,3282.437614,384.3603763,3309.34284,17.29621693,4.9,49297,23.4,15.5
ALLEN COUNTY,2016,2,3503.249293,386.2457875,3520.630353,29.93404853,5,47924,21.9,15.5
ALLEN COUNTY,2017,2,3085.311781,315.322745,3046.502828,37.83872939,5,51325,23,15.2
ASHLAND COUNTY,2014,3,1472.96738,67.72263817,1514.353437,5.643553181,6,47369,21,14.6
ASHLAND COUNTY,2015,3,1366.1356,75.06239562,1398.037118,11.25935934,5,48338,20.1,14.1
ASHLAND COUNTY,2016,3,1171.831197,128.9575001,1197.996486,5.60684783,5.1,50612,17.4,12.2
ASHLAND COUNTY,2017,3,1212.629226,117.3512154,1201.45292,5.588153115,4.9,51103,17.1,11.4
ASHTABULA COUNTY,2014,4,1288.667603,97.96297605,1344.21362,27.26804488,7.2,39757,32.1,21.5
ASHTABULA COUNTY,2015,4,1253.405441,103.6880413,1287.968121,21.34753792,6,44258,28.6,18.6
ASHTABULA COUNTY,2016,4,664.5737351,62.17637705,681.9015779,39.75210992,6.1,43668,26.5,18.2
ASHTABULA COUNTY,2017,4,615.198788,50.15763829,628.5059166,26.61425705,5.9,45157,28.4,19.3
ATHENS COUNTY,2014,5,1804.625027,97.25524098,1827.781037,12.34987187,6.9,34216,31.4,29.9
ATHENS COUNTY,2015,5,2171.407776,92.49711894,2197.185661,12.1307697,6.2,38400,29.1,31.5
ATHENS COUNTY,2016,5,1961.787272,112.8328569,2024.973672,9.026628554,6.4,38131,24.5,28.8
ATHENS COUNTY,2017,5,1671.066843,118.5047402,1683.067323,9.000360014,6,42955,28.5,28.8
