GEO.id,GEO.id2,GEO.display-label,HD01_VD01,,HD01_VD02,HD01_VD09,HD01_VD16,HD01_VD23
Id,Id2,Geography,Estimate; Total:,,Estimate; Less than high school graduate:,Estimate; High school graduate (includes equivalency):,Estimate; Some college or associate's degree:,Estimate; Bachelor's degree or higher:
0400000US39,39,Ohio,6043508,,517279,1892938,1866946,1766345
0500000US39001,39001,"Adams County, Ohio",14349,,2639,6743,3176,1791
0500000US39003,39003,"Allen County, Ohio",52238,,4859,18693,19041,9645
0500000US39005,39005,"Ashland County, Ohio",25855,,2611,10480,7358,5406
0500000US39007,39007,"Ashtabula County, Ohio",51344,,6689,22473,15131,7051
0500000US39009,39009,"Athens County, Ohio",28542,,2523,9006,8227,8786
0500000US39011,39011,"Auglaize County, Ohio",23148,,1071,9372,8063,4642
0500000US39013,39013,"Belmont County, Ohio",37326,,3047,14210,13421,6648
0500000US39015,39015,"Brown County, Ohio",22785,,2686,10367,6506,3226
0500000US39017,39017,"Butler County, Ohio",188340,,14944,59814,54603,58979
0500000US39019,39019,"Carroll County, Ohio",14363,,1302,6963,4241,1857
0500000US39021,39021,"Champaign County, Ohio",19909,,1515,9078,5840,3476
0500000US39023,39023,"Clark County, Ohio",67754,,8018,24012,22958,12766
0500000US39025,39025,"Clermont County, Ohio",108063,,8716,34044,33053,32250
0500000US39027,39027,"Clinton County, Ohio",21296,,1788,8774,6825,3909
0500000US39029,39029,"Columbiana County, Ohio",55267,,5860,24040,17259,8108
0500000US39031,39031,"Coshocton County, Ohio",18606,,2706,8553,4925,2422
0500000US39033,39033,"Crawford County, Ohio",21211,,1726,8932,7181,3372
0500000US39035,39035,"Cuyahoga County, Ohio",660921,,59566,172566,205121,223668
0500000US39037,39037,"Darke County, Ohio",25728,,2032,12062,7811,3823
0500000US39039,39039,"Defiance County, Ohio",19315,,1496,8166,6251,3402
0500000US39041,39041,"Delaware County, Ohio",102038,,2605,16990,23835,58608
0500000US39043,39043,"Erie County, Ohio",38374,,2409,13289,13488,9188
0500000US39045,39045,"Fairfield County, Ohio",79376,,5485,24082,26952,22857
0500000US39047,39047,"Fayette County, Ohio",14776,,1633,6695,3982,2466
0500000US39049,39049,"Franklin County, Ohio",690355,,58465,160561,190956,280373
0500000US39051,39051,"Fulton County, Ohio",21552,,1487,8205,7759,4101
