PCT_PPL_NO_HLTH_INSURANCE,OPIOID_SCRIPTS_100,SUBSTANCE_ABUSE_FACILITIES,CRIME_THEFT_100k,CRIME_VIOLENT_100k,CRIME_PROPERTY_100k,UNEMPLOYMENT_RATE,MEDIAN_INCOME,UNDER_18_POVERTY_RATE,ALL_AGES_POVERTY_RATE,HS_LESS_PERCENT,RISK
40.7,20.7,1,714.8240345,18.27026286,726.2429488,4,50069,18.5,12.4,0.196336812,high
7.2,17.8,1,6.881365263,6.881365263,6.881365263,7.6,43953,20,16.3,0.074938068,high
7.4,41.7,0,812.3513307,71.81006238,801.1310085,4.4,47905,13.8,10,0.039719941,high
40.7,20.7,1,446.6625647,38.74114081,471.7303617,3.4,53540,15.7,10.8,0.195916228,high
11.1,39,1,1282.138254,217.0816091,1356.760057,7.3,39969,29.1,19,0.054473916,high
8,31.2,1,559.2487074,89.69083043,559.2487074,4.8,49796,17.3,10.9,0.043368154,high
8,31.2,1,753.8755574,74.32575918,753.8755574,4.6,51020,15.4,10.7,0.043639839,high
6.6,44,1,505.3507729,35.13133715,510.755594,4.4,49031,17.5,12,0.043562858,high
10.6,59.8,0,2045.440242,94.40493423,2076.908553,5.7,45195,24.8,19,0.040531185,high
8.2,56.2,2,1945.278023,141.2180053,1941.747573,4.2,51264,15.3,11.2,0.031032657,high
5.5,43.6,1,782.2400909,39.33050736,799.7203164,4.3,52650,12.1,8.3,0.023401652,high
40.7,20.7,1,268.8723312,2.278579078,273.4294894,3.5,61593,13.6,9,0.195889443,high
6.6,44,1,494.756655,56.46679215,494.756655,5.5,42214,21.6,14.2,0.043344985,high
12.9,69.4,1,4295.217498,150.5653043,4352.706069,7.6,41547,27.4,18.1,0.07407813,high
4.1,48.1,5,1375.156787,93.9453492,1388.359917,3.6,102990,4.7,4.7,0.013228521,high
11.1,37.4,1,1212.629226,117.3512154,1201.45292,4.9,51103,17.1,11.4,0.048635559,high
11.1,37.4,1,1171.831197,128.9575001,1197.996486,5.1,50612,17.4,12.2,0.048798266,high
11.1,37.4,1,1472.96738,67.72263817,1514.353437,6,47369,21,14.6,0.049117725,high
8.8,85,2,2994.179278,176.9499418,3054.714785,7.1,41814,27.2,19.1,0.055110594,high
